class_path>path
metabolic pathway>glutamine family amino acid metabolic process (GO:0009064);Alanine, aspartate and glutamate metabolism;glucose metabolic process (GO:0006006);purine ribonucleoside monophosphate catabolic process (GO:0009169);DNA metabolic process (GO:0006259);Fatty acid degradation;cellular amino acid catabolic process (GO:0009063);Folate biosynthesis;Pentose and glucuronate interconversions;Cysteine and methionine metabolism;Histidine metabolism;sphingolipid metabolic process (GO:0006665);fatty acid derivative biosynthetic process (GO:1901570);sulfur compound biosynthetic process (GO:0044272);unsaturated fatty acid metabolic process (GO:0033559);estrogen metabolic process (GO:0008210);heme catabolic process (GO:0042167);Sulfur metabolism;Glutathione metabolism;Protein digestion and absorption;monocarboxylic acid metabolic process (GO:0032787);retinoid metabolic process (GO:0001523);Arginine and proline metabolism;phosphate-containing compound metabolic process (GO:0006796);organonitrogen compound biosynthetic process (GO:1901566);Drug metabolism;purine ribonucleotide metabolic process (GO:0009150);Central carbon metabolism in cancer;regulation of primary metabolic process (GO:0080090);Various types of N-glycan biosynthesis;RNA processing (GO:0006396);angiotensin maturation (GO:0002003);Mineral absorption;Valine, leucine and isoleucine degradation;fatty acid beta-oxidation (GO:0006635);cellular amide metabolic process (GO:0043603);sulfide oxidation (GO:0019418);icosanoid metabolic process (GO:0006690);prostaglandin metabolic process (GO:0006693);cellular macromolecule biosynthetic process (GO:0034645);positive regulation of cellular protein metabolic process (GO:0032270);cellular protein metabolic process (GO:0044267);positive regulation of cellular metabolic process (GO:0031325);cholesterol homeostasis (GO:0042632);regulation of lipid storage (GO:0010883);cellular transition metal ion homeostasis (GO:0046916)
signal pathway>p53 signaling pathway;MAPK cascade (GO:0000165);Cytokine-cytokine receptor interaction;Hippo signaling pathway;Notch signaling pathway (GO:0007219);toll-like receptor signaling pathway (GO:0002224);NOD-like receptor signaling pathway;Ras protein signal transduction (GO:0007265);PPAR signaling pathway;HIF-1 signaling pathway;transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169);small GTPase mediated signal transduction (GO:0007264);transforming growth factor beta receptor signaling pathway (GO:0007179);regulation of receptor signaling pathway via JAK-STAT (GO:0046425);Complement and coagulation cascades;cyclic-nucleotide-mediated signaling (GO:0019935);regulation of MAPK cascade (GO:0043408);negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059);cytokine-mediated signaling pathway (GO:0019221);positive regulation of response to stimulus (GO:0048584);Estrogen signaling pathway;positive regulation of MAPK cascade (GO:0043410);regulation of intracellular signal transduction (GO:1902531);regulation of transforming growth factor beta receptor signaling pathway (GO:0017015);regulation of signal transduction (GO:0009966);negative regulation of signal transduction (GO:0009968);positive regulation of intracellular signal transduction (GO:1902533);negative regulation of intracellular signal transduction (GO:1902532);regulation of GTPase activity (GO:0043087);positive regulation of GTPase activity (GO:0043547);peptidyl-proline modification (GO:0018208);positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731);negative regulation of protein serine/threonine kinase activity (GO:0071901);regulation of ERK1 and ERK2 cascade (GO:0070372);regulation of canonical Wnt signaling pathway (GO:0060828)
Cell growth and differentiation pathway>regulation of cell growth (GO:0001558);lymphocyte differentiation (GO:0030098);myeloid leukocyte differentiation (GO:0002573);mononuclear cell differentiation (GO:1903131);regulation of cell differentiation (GO:0045595);positive regulation of cell differentiation (GO:0045597);regulation of dendritic cell differentiation (GO:2001198);myoblast fusion (GO:0007520);myelination (GO:0042552);generation of neurons (GO:0048699);epithelium development (GO:0060429);skeletal system development (GO:0001501);heart development (GO:0007507);central nervous system development (GO:0007417);nervous system development (GO:0007399);ectoderm development (GO:0007398);odontogenesis (GO:0042476);regulation of neuron projection development (GO:0010975);Axon guidance;regulation of macrophage chemotaxis (GO:0010758);regulation of granulocyte chemotaxis (GO:0071622)
Cell cycle and proliferation pathway>regulation of cell cycle (GO:0051726);regulation of mitotic cell cycle (GO:0007346);mitotic cell cycle phase transition (GO:0044772);positive regulation of cell population proliferation (GO:0008284);negative regulation of cell population proliferation (GO:0008285);regulation of cell population proliferation (GO:0042127)
Immune-related pathway>Human immunodeficiency virus 1 infection;defense response to virus (GO:0051607);Kaposi sarcoma-associated herpesvirus infection;Salmonella infection;Tuberculosis;Malaria;innate immune response (GO:0045087);immune response (GO:0050776);inflammatory response (GO:0006954);negative regulation of inflammatory response (GO:0050728);regulation of inflammatory response (GO:0050727);Systemic lupus erythematosus;neutrophil degranulation (GO:0043312);regulation of immune response (GO:0050776);Human T-cell leukemia virus 1 infection;positive regulation of cytokine production (GO:0001819);negative regulation of cytokine production (GO:0001818)
Cell transport and localization pathway>protein secretion (GO:0009306);receptor-mediated endocytosis (GO:0006898);Endocytosis;protein deubiquitination (GO:0016579);protein ubiquitination (GO:0016567);protein localization to organelle (GO:0033365);cellular protein localization (GO:0034613);protein transport (GO:0015031);protein-containing complex assembly (GO:0065003);organelle assembly (GO:0070925);vesicle-mediated transport (GO:0060627);endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888);cellular component assembly (GO:0022607);positive regulation of protein modification process (GO:0031401);protein glycosylation (GO:0006486);protein O-linked glycosylation (GO:0006493);protein localization to membrane (GO:0072657);cell-matrix adhesion (GO:0007160);cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742);cell-cell junction assembly (GO:0007043);cell-substrate junction assembly (GO:0007044);homotypic cell-cell adhesion (GO:0034109);leukocyte cell-cell adhesion (GO:0007159);leukocyte tethering or rolling (GO:0050901);endothelial cell migration (GO:0043542);cell migration (GO:0016477);positive regulation of cell migration (GO:0030335);negative regulation of cell migration (GO:0030336);plasma membrane organization (GO:0007009);transmembrane transport (GO:0055085);cation transmembrane transport (GO:0098655);inorganic cation transmembrane transport (GO:0098662);anion homeostasis (GO:0055081);nitrogen compound transport (GO:0071705);organic anion transport (GO:0015711);chloride transport (GO:0006821);cation transport (GO:0006812);cellular protein modification process (GO:0006464);transport across blood-brain barrier (GO:0150104);regulation of vesicle-mediated transport (GO:0060627);protein stabilization (GO:0050821);regulation of RNA splicing (GO:0043484);Lysosome;Phagosome;organelle organization (GO:0006996);proteolysis (GO:0006508)
Cell stress and apoptosis pathway>response to lipid (GO:0033993);cellular response to lipid (GO:0071396);regulation of cellular response to stress (GO:0080135);regulation of cellular response to osmotic stress (GO:0106049);cellular response to oxidative stress (GO:0034599);cellular response to hypoxia (GO:0071456);cellular response to growth factor stimulus (GO:0071363);cellular response to cytokine stimulus (GO:0071345);cellular response to metal ion (GO:0071248);cellular response to oxygen-containing compound (GO:1901701);apoptotic process (GO:0006915);negative regulation of apoptotic process (GO:0043066);regulation of cell death (GO:0010941);regulation of apoptotic process (GO:0042981)
Cytoskeleton and cell motor pathway>regulation of phosphorylation (GO:0042325);positive regulation of phosphorylation (GO:0042327);phosphorylation (GO:0016310);regulation of protein phosphorylation (GO:0001932);negative regulation of protein phosphorylation (GO:0001933);positive regulation of protein phosphorylation (GO:0001934);actin-mediated cell contraction (GO:0070252);actin cytoskeleton reorganization (GO:0031532);actin filament organization (GO:0007015);cortical cytoskeleton organization (GO:0030865);cytoskeleton organization (GO:0006996);regulation of cytoskeleton organization (GO:0051493);Regulation of actin cytoskeleton;actomyosin structure organization (GO:0031032);positive regulation of cell motility (GO:2000147);negative regulation of cell motility (GO:2000146);cell-substrate adhesion (GO:0007160);cell-cell adhesion (GO:0098742);focal adhesion;supramolecular fiber organization (GO:0097435);plasma membrane bounded cell projection assembly (GO:0120031);regulation of cell migration (GO:0030334);positive regulation of cellular process (GO:0048522);negative regulation of cellular process (GO:0048523);positive regulation of cell projection organization (GO:0031346);protein homooligomerization (GO:0051260)
Disease-associated pathway>Alcoholism;Type I diabetes mellitus;Coronavirus disease;Arrhythmogenic right ventricular cardiomyopathy;Fluid shear stress and atherosclerosis;Rheumatoid arthritis;Huntington disease;Amyotrophic lateral sclerosis;Chemical carcinogenesis;Pathways of neurodegeneration;Proteoglycans in cancer;Transcriptional misregulation in cancer;MicroRNAs in cancer;Cushing syndrome;Shigellosis;Staphylococcus aureus infection;Pathogenic Escherichia coli infection;regulation of viral entry into host cell (GO:0046596);regulation of viral genome replication (GO:0045069);Human papillomavirus infection
Other pathway>renal filtration (GO:0097205);bile secretion;salivary secretion;visual perception (GO:0007601);wound healing (GO:0042060);tight junction;lysosome;phagosome;chemical synaptic transmission (GO:0007268);synaptic transmission (GO:0007268);axonogenesis (GO:0007409);axon guidance (GO:0007411);regulation of heart contraction (GO:0008016);regulation of angiogenesis (GO:0045765);maintenance of gastrointestinal epithelium (GO:0030277);extracellular matrix organization (GO:0030198);positive regulation of synaptic transmission (GO:0050806);regulation of autophagy (GO:0010506);positive regulation of cellular biosynthetic process (GO:0031328);negative regulation of cellular macromolecule biosynthetic process (GO:2000113);positive regulation of transferase activity (GO:0051347);negative regulation of endopeptidase activity (GO:0010951);negative regulation of hydrolase activity (GO:0051346);regulation of protein secretion (GO:0050708);various types of N-glycan biosynthesis;negative regulation of smooth muscle cell proliferation (GO:0048662);negative regulation of multicellular organismal process (GO:0051241);positive regulation of multicellular organismal process (GO:0051240);human papillomavirus infection;retina homeostasis (GO:0001895);melanosome transport (GO:0032402);phagocytosis, engulfment (GO:0006911);ubiquitin-dependent protein catabolic process (GO:0006511);positive regulation of ion transport (GO:0043270);negative regulation of growth (GO:0045926);cell adhesion molecules;regulated exocytosis (GO:0045055);substantia nigra development (GO:0021762);Tight junction;Cell adhesion molecules;Focal adhesion;synapse organization (GO:0050808);muscle contraction (GO:0006936);Salivary secretion;Bile secretion;regulation of cytosolic calcium ion concentration (GO:0051480);positive regulation of gene expression (GO:0010628);negative regulation of gene expression (GO:0010629);transcription by RNA polymerase II (GO:0006366);regulation of gene expression (GO:0010468)
