class_label
Central carbon metabolism in cancer
cell-substrate junction assembly (GO:0007044)
negative regulation of inflammatory response (GO:0050728)
DNA metabolic process (GO:0006259)
regulation of phosphorylation (GO:0042325)
positive regulation of cell population proliferation (GO:0008284)
angiotensin maturation (GO:0002003)
Histidine metabolism
cation transport (GO:0006812)
MAPK cascade (GO:0000165)
Tuberculosis
Hippo signaling pathway
regulation of neuron projection development (GO:0010975)
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)
positive regulation of protein modification process (GO:0031401)
Salivary secretion
regulation of mitotic cell cycle (GO:0007346)
plasma membrane organization (GO:0007009)
Mineral absorption
sphingolipid metabolic process (GO:0006665)
protein localization to organelle (GO:0033365)
odontogenesis (GO:0042476)
negative regulation of protein serine/threonine kinase activity (GO:0071901)
Arrhythmogenic right ventricular cardiomyopathy
purine ribonucleotide metabolic process (GO:0009150)
regulation of cell differentiation (GO:0045595)
cellular protein localization (GO:0034613)
toll-like receptor signaling pathway (GO:0002224)
protein secretion (GO:0009306)
Rheumatoid arthritis
defense response to virus (GO:0051607)
inflammatory response (GO:0006954)
cell-cell junction assembly (GO:0007043)
wound healing (GO:0042060)
positive regulation of synaptic transmission (GO:0050806)
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)
melanosome transport (GO:0032402)
regulation of vesicle-mediated transport (GO:0060627)
MicroRNAs in cancer
negative regulation of hydrolase activity (GO:0051346)
regulation of cell cycle (GO:0051726)
positive regulation of GTPase activity (GO:0043547)
regulation of RNA splicing (GO:0043484)
maintenance of gastrointestinal epithelium (GO:0030277)
protein deubiquitination (GO:0016579)
regulation of MAPK cascade (GO:0043408)
leukocyte cell-cell adhesion (GO:0007159)
actin-mediated cell contraction (GO:0070252)
Cytokine-cytokine receptor interaction
Coronavirus disease
sulfide oxidation (GO:0019418)
negative regulation of cytokine production (GO:0001818)
cation transmembrane transport (GO:0098655)
Salmonella infection
RNA processing (GO:0006396)
Estrogen signaling pathway
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)
actin cytoskeleton reorganization (GO:0031532)
chloride transport (GO:0006821)
